LENS	TYPE	DESIGN	QTY
70-300/4-5.6 D ED	AF	zoom	401408
70-300/4-5.6 G	AF	zoom	830610
70-300/4.5-5.6 G IF-ED VR	AF-S	zoom	648431
75-150/3.5 Series E Zoom	E	zoom	262866
75-240/4.5-5.6 D	AF	zoom	99625
75-300/4.5-5.6	AF	zoom	219904
8.5-25cm/4-4.5 Auto Tele-Zoom	F	prime	6267
8/2.8 Fisheye Auto NKJ	F	prime	2
8/2.8 Fisheye	Ai-S	prime	4456
8/2.8 Fisheye Auto NKJ	F	prime	1275
8/2.8 Fisheye Auto Nikon	Ai	prime	2448
8/8 Fish-eye NKJ	F	prime	2
8/8 Fish-eye NKJ	F	prime	1378
80-200/2.8 D ED	AF	zoom	163085
80-200/2.8 D ED New	AF	zoom	267483
80-200/2.8 D IF-ED	AF-S	zoom	61492
80-200/2.8 ED	AF	zoom	187334
80-200/2.8 Zoom*ED	Ai-S	zoom	1539
80-200/4.5-5.6 D	AF	zoom	199811
80-200/4.5 Zoom	Ai	zoom	13832
80-200/4.5 Zoom	K	zoom	45963
80-200/4.5 Zoom Auto NKJ	F	zoom	2173
80-200/4.5 Zoom Auto Nikon	F	zoom	22245
80-200/4.5 Zoom New	Ai	zoom	152724
80-200/4.5 Zoom.C Auto	C	zoom	52626
80-200/4 Zoom	Ai-S	zoom	147991
80-400/4.5-5.6 D ED VR	AF	zoom	173363
80/2.8	F3AF	prime	11553
800/5.6 IF-ED	Ai-S	prime	2972
800/8 Nikkor*ED	K	prime	75
800/8 Nikkor*ED IF	Ai	prime	275
800/8 Nikkor*ED IF	Ai-S	prime	857
800/8 P Auto NKJ	F	prime	437
800/8 P Auto Nikon	F	prime	343
800/8 P.C Auto	C	prime	420
85-250/4-4.5 Auto Tele-Zoom	F	zoom	377
85-250/4 Zoom Auto NKJ	F	zoom	1552
85/1.4	Ai-S	prime	66630
85/1.4 D IF	AF	prime	69750
85/1.8	AF	prime	107925
85/1.8	K	prime	33163
85/1.8 H Auto NKJ	F	prime	3
85/1.8 D	AF	prime	178040
85/1.8 H Auto NKJ	F	prime	39721
85/1.8 H Auto Nikon	F	prime	34661
85/1.8 H.C Auto	C	prime	12004
85/2	Ai	prime	89309
85/2	Ai-S	prime	87756
85/2.8 D PC Micro	n/a	prime	8905
85/2.8 D PC-E Micro	n/a	prime	1959
85/3.5 G Micro IF-ED VR	AF-S	prime	5095
